127.0.0.1 - - [19/Nov/2023:17:12:48 +0300] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:50 +0300] "GET /persons/ HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:50 +0300] "GET /persons/css/style.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:50 +0300] "GET /persons/css/bootstrap.min.css HTTP/1.1" 200 155845
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:50 +0300] "GET /persons/js/jquery-3.6.4.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:50 +0300] "GET /persons/images/book1.png HTTP/1.1" 200 38668
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:50 +0300] "GET /persons/js/bootstrap.bundle.min.js HTTP/1.1" 200 78743
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:50 +0300] "GET /persons/images/authors1.png HTTP/1.1" 200 168456
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:51 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:51 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:52 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:52 +0300] "GET /persons/author HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:52 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:53 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:54 +0300] "GET /persons/book HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:55 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:56 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:58 +0300] "GET /persons/author HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:12:59 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:13:00 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:17:27 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:17:37 +0300] "GET /persons/views/book.jsp HTTP/1.1" 200 4029
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:17:37 +0300] "GET /persons/views/css/bootstrap.min.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:17:37 +0300] "GET /persons/views/js/jquery-3.6.4.js HTTP/1.1" 404 796
