127.0.0.1 - - [05/Dec/2023:17:44:22 +0300] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:23 +0300] "GET /persons/ HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:23 +0300] "GET /persons/css/style.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:23 +0300] "GET /persons/css/bootstrap.min.css HTTP/1.1" 200 155845
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:23 +0300] "GET /persons/js/jquery-3.6.4.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:23 +0300] "GET /persons/JSPView//authors1.png HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:23 +0300] "GET /persons/JSPView//book1.png HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:24 +0300] "GET /persons/js/bootstrap.bundle.min.js HTTP/1.1" 200 78743
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:24 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:25 +0300] "GET /persons/views/author.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:25 +0300] "GET /persons/views/JSPView/style.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:25 +0300] "GET /persons/views/JSPView/bootstrap.min.css HTTP/1.1" 200 155845
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:25 +0300] "GET /persons/views/js/jquery.min.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:25 +0300] "GET /persons/views/js/bootstrap.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:25 +0300] "GET /persons/views/JSPView//authors1.png HTTP/1.1" 200 168456
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:25 +0300] "GET /persons/views/JSPView//book1.png HTTP/1.1" 200 38668
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:26 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:26 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:28 +0300] "GET /persons/views/book.jsp HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:28 +0300] "GET /persons/views/js/bootstrap.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:28 +0300] "GET /persons/views/js/jquery-3.6.4.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [05/Dec/2023:17:44:29 +0300] "GET /favicon.ico HTTP/1.1" 404 763
